length,breadth,species,id
21.7,16.1,meadow.pipit,21
22.6,17,meadow.pipit,22
20.9,16.2,meadow.pipit,23
21.6,16.2,meadow.pipit,24
22.2,16.9,meadow.pipit,25
22.5,16.9,meadow.pipit,26
22.2,17.3,meadow.pipit,27
24.3,16.8,meadow.pipit,28
22.3,16.8,meadow.pipit,29
22.6,17,meadow.pipit,30
20.1,16.5,meadow.pipit,31
22,16.9,meadow.pipit,32
22.8,16.5,meadow.pipit,33
22,17,meadow.pipit,34
22.4,17,meadow.pipit,35
22.3,16.3,meadow.pipit,36
20.6,16.2,meadow.pipit,37
22.1,16.8,meadow.pipit,38
21.9,17,meadow.pipit,39
23,16.9,meadow.pipit,40
22,17,meadow.pipit,41
22,17,meadow.pipit,42
22.1,17.3,meadow.pipit,43
22,16.8,meadow.pipit,44
19.6,15.8,meadow.pipit,45
22.8,17.1,meadow.pipit,46
22,16.9,meadow.pipit,47
23.4,16.4,meadow.pipit,48
23.8,16.4,meadow.pipit,49
23.3,16.8,meadow.pipit,50
22.5,17.1,meadow.pipit,51
22.3,17,meadow.pipit,52
21.9,17.1,meadow.pipit,53
22,17.2,meadow.pipit,54
21.7,16.2,meadow.pipit,55
23.3,16.7,meadow.pipit,56
22.2,16.8,meadow.pipit,57
22.3,16.2,meadow.pipit,58
22.8,16.4,meadow.pipit,59
22.9,17.2,meadow.pipit,60
23.7,17,meadow.pipit,61
22,17.2,meadow.pipit,62
21.9,17,meadow.pipit,63
22.2,16.2,meadow.pipit,64
24.4,16.2,meadow.pipit,65
22.7,16.3,tree.pipit,66
23.3,16.6,tree.pipit,67
24,17,tree.pipit,68
23.6,16.9,tree.pipit,69
22.1,16.3,tree.pipit,70
21.8,16.7,tree.pipit,71
21.1,16.5,tree.pipit,72
23.4,16.2,tree.pipit,73
23.8,16.3,tree.pipit,74
23.3,16.7,tree.pipit,75
24,17.5,tree.pipit,76
23.5,17.3,tree.pipit,77
23.2,16.4,tree.pipit,78
24,17.3,tree.pipit,79
22.4,16,tree.pipit,80
22,17,hedge.sparrow,82
23.9,16.9,hedge.sparrow,83
20.9,15.8,hedge.sparrow,84
23.8,17.3,hedge.sparrow,85
25,17.5,hedge.sparrow,86
24,17.5,hedge.sparrow,87
21.7,16.2,hedge.sparrow,88
23.8,16.5,hedge.sparrow,89
22.8,16.2,hedge.sparrow,90
23.1,17.1,hedge.sparrow,91
23.1,16.1,hedge.sparrow,92
23.5,16.9,hedge.sparrow,93
23,16.7,hedge.sparrow,94
23,17,hedge.sparrow,95
21.8,16,robin,96
23,15.9,robin,97
23.3,17.1,robin,98
22.4,16.6,robin,99
22.4,16.9,robin,100
23,16.1,robin,101
23,17.2,robin,102
23,16.2,robin,103
23.9,16.9,robin,104
22.3,15.2,robin,105
22,16.3,robin,106
22.6,17,robin,107
22,16,robin,108
22.1,16.4,robin,109
21.1,16.4,robin,110
23,17,robin,111
23,16.3,pied.wagtail,198
23.4,16.7,pied.wagtail,199
24,17,pied.wagtail,200
23.3,16.3,pied.wagtail,201
23.1,16.7,pied.wagtail,202
22.4,16.5,pied.wagtail,203
21.8,16,pied.wagtail,204
21.8,16,pied.wagtail,205
24.9,16.8,pied.wagtail,206
24,15.8,pied.wagtail,207
22.1,16.2,pied.wagtail,208
21,17.1,pied.wagtail,209
22.6,16,pied.wagtail,210
21.9,16.9,pied.wagtail,211
24,17.2,pied.wagtail,212
19.8,15,wren,224
22.1,16,wren,225
21.5,16.2,wren,226
20.9,15.7,wren,227
22,16.2,wren,228
21,15.5,wren,229
22.3,16,wren,230
21,15.9,wren,231
20.3,15.5,wren,232
20.9,15.9,wren,233
22,16,wren,234
20,15.7,wren,235
20.8,15.9,wren,236
21.2,16,wren,237
21,16,wren,238
